id;name;brand;regular_price;promo_price;store;city
584296;Скумбрия Атлантическая холодного копчения ЛЕНТА без головы, 280г;ЛЕНТА;38799.0;32499.0;Лента;Москва
629822;Кижуч замороженный ЛЕНТА стейк, 430г;ЛЕНТА;64999.0;57999.0;Лента;Москва
595403;"Навага ЛЕНТА FRESH потрошеная без головы (из замороженного сырья), 
весовая";ЛЕНТА FRESH СП;28999.0;23999.0;Лента;Москва
581799;Морская капуста маринованная РУССКОЕ МОРЕ Классическая, 450г;РУССКОЕ МОРЕ;16699.0;12699.0;Лента;Москва
610173;Кета замороженная ЛЕНТА стейк, 430г;ЛЕНТА;58499.0;49199.0;Лента;Москва
711284;Салат из морских водорослей РУССКОЕ МОРЕ Чука, 150г;РУССКОЕ МОРЕ;18299.0;12699.0;Лента;Москва
294302;Окунь морской ЛЕНТА FRESH потрошеный без головы (из замороженного сырья), весовой;ЛЕНТА FRESH СП;38999.0;35999.0;Лента;Москва
634765;Рыбки тресковые замороженные POLAR с сыром, в панировке, 375г;POLAR;25499.0;19199.0;Лента;Москва
626333;Паста САНТА БРЕМОР Антарктик Криль с авокадо, 150г;САНТА БРЕМОР;17599.0;10499.0;Лента;Москва
347157;Сельдь РУССКОЕ МОРЕ Исландка, филе-кусочки в красновинной заливке, 115г;РУССКОЕ МОРЕ;16699.0;14199.0;Лента;Москва
304031;Сайра ЛЕНТА Тихоокеанская натуральная, 240г;ЛЕНТА;26299.0;21699.0;Лента;Москва
626700;Икра мойвы САНТА БРЕМОР деликатесная с лососем и авокадо, 180г;САНТА БРЕМОР;22499.0;14199.0;Лента;Москва
523853;Икра лососевая 365 ДНЕЙ зернистая, 1-й сорт, 75г;365 ДНЕЙ;44299.0;;Лента;Москва
749597;Форель слабосоленая РУССКОЕ МОРЕ филе-ломтики, 100г;РУССКОЕ МОРЕ;36299.0;;Лента;Москва
379132;Салат из морской капусты 365 ДНЕЙ Натуральный, 250г;365 ДНЕЙ;7699.0;;Лента;Москва
378416;Минтай замороженный РРК филе порционное, 400г;РРК;42399.0;;Лента;Москва
80666;Треска ЛЕНТА FRESH филе без кожи, весовая;ЛЕНТА FRESH СП;87499.0;76999.0;Лента;Москва
700601;Икра лососевая имитированная БАЛТИЙСКИЙ БЕРЕГ структурированная, 120г;БАЛТИЙСКИЙ БЕРЕГ;20599.0;18299.0;Лента;Москва
687135;Салат РУССКОЕ МОРЕ из вареного мяса Чилийской мидии с овощами, 150г;РУССКОЕ МОРЕ;15099.0;9699.0;Лента;Москва
717212;Сельдь Тихоокеанская слабосоленая РУССКОЕ МОРЕ Селедочка Традиционный посол, филе-кусочки в масле, 500г;РУССКОЕ МОРЕ;36399.0;31399.0;Лента;Москва
687136;Кальмар Командорский РУССКОЕ МОРЕ щупальца в заливке, 180г;РУССКОЕ МОРЕ;23399.0;18299.0;Лента;Москва
95658;Сельдь слабосоленая МАТИАС Оригинал, филе, 250г;САНТА БРЕМОР;19699.0;;Лента;Москва
381515;Икра лососевая имитированная БАЛТИЙСКИЙ БЕРЕГ, 220г;БАЛТИЙСКИЙ БЕРЕГ;12799.0;9099.0;Лента;Москва
641592;Лосось слабосоленый ЛЕНТА FRESH По-домашнему, весовой;ЛЕНТА FRESH СП;46000.0;34000.0;Лента;Москва
687149;Креветки РУССКОЕ МОРЕ мясо в заливке, 180г;РУССКОЕ МОРЕ;26299.0;23199.0;Лента;Москва
725455;Кальмар замороженный очищенный, тушка с плавником без кожи, 500г;Прочие Товары;57699.0;53699.0;Лента;Москва
672687;Икра мойвы деликатесная РУССКОЕ МОРЕ Люкс Оригинальная, 100г;РУССКОЕ МОРЕ;17299.0;13799.0;Лента;Москва
660400;Креветки свежемороженые PREMIUM CLUB очищенные 36/40, 500г;PREMIUM CLUB;120899.0;83099.0;Лента;Москва
561404;Горбуша КУРИЛЬСКИЙ БЕРЕГ натуральная, 250г;КУРИЛЬСКИЙ БЕРЕГ;29699.0;22599.0;Лента;Москва
687137;Коктейль из морепродуктов РУССКОЕ МОРЕ Морской микс, в заливке, 180г;РУССКОЕ МОРЕ;21099.0;14999.0;Лента;Москва
390955;Крем-паста из морепродуктов САНТА БРЕМОР Антарктик-Криль классический, 150г;САНТА БРЕМОР;13199.0;;Лента;Москва
558170;Икра лососевая КАМЧАТСКОЕ МОРЕ зернистая, ГОСТ, 140г;КАМЧАТСКОЕ МОРЕ;194399.0;131199.0;Лента;Москва
883960;Сардина Иваси ЛЕНТА натуральная с добавлением масла, 250г;ЛЕНТА;15099.0;11599.0;Лента;Москва
577017;Кальмар БАЛТИЙСКИЙ БЕРЕГ щупальца в чесночном соусе, 210г;БАЛТИЙСКИЙ БЕРЕГ;23799.0;18899.0;Лента;Москва
687153;Кальмар РУССКОЕ МОРЕ мясо соломкой в заливке, 300г;РУССКОЕ МОРЕ;31399.0;29099.0;Лента;Москва
603210;Лососевые порции VICI в золотистой корочке, 450г;VICI;26699.0;23799.0;Лента;Москва
660992;Икра лососевая ПУТИНА зернистая, 100г;ПУТИНА;179199.0;87999.0;Лента;Москва
745300;Печень Атлантической трески ALAND, 115г;ALAND;33399.0;26499.0;Лента;Москва
429607;Сельдь слабосоленая МАТИАС, XXL, крупные филе-кусочки, 200г;РУССКОЕ МОРЕ;26099.0;19999.0;Лента;Москва
460018;Крабовое мясо охлажденное ЛЕНТА (имитация), 200г;Не указан;16399.0;10599.0;Лента;Москва
701110;Кета замороженная Тихоокеанская, стейк, весовая;Не указан;109999.0;99999.0;Лента;Москва
646186;Форель слабосоленая 365 ДНЕЙ филе-кусок, 130г;Не указан;24599.0;;Лента;Москва
172591;Килька ЛЕНТА в томатном соусе, 240г;Не указан;10099.0;8299.0;Лента;Москва
264160;Мидии Чилийские варено-мороженые VICI, 400г;Не указан;44499.0;38799.0;Лента;Москва
494207;Форель слабосоленая БАЛТИЙСКИЙ БЕРЕГ филе-ломтики, 100г;Не указан;30799.0;;Лента;Москва
354938;Кальмар 365 ДНЕЙ в рассоле соломка, 180г;Не указан;22799.0;19399.0;Лента;Москва
729037;Форель Радужная замороженная потрошеная без головы 1,8–3,6кг, весовая;Не указан;269998.0;244798.0;Лента;Москва
370262;Кета слабосоленая 365 ДНЕЙ филе-ломтики, 150г;Не указан;30799.0;25699.0;Лента;Москва
389800;Тунец ЛЕНТА кусочки в масле, 185г;Не указан;26299.0;20599.0;Лента;Москва
737088;Паштет рыбный WISH FISH из тунца, 100г;Не указан;11799.0;9499.0;Лента;Москва
731664;Макрель ВКУСНЫЕ КОНСЕРВЫ филе в масле, 140г;Не указан;26699.0;9299.0;Лента;Москва
590315;Икра красная имитированная БАЛТИЙСКИЙ БЕРЕГ, 480г;Не указан;19899.0;13499.0;Лента;Москва
212897;Креветки Королевские варено-мороженые, очищенные с хвостами 41/50, весовые;Не указан;158499.0;;Лента;Москва
547551;Сельдь САНТА БРЕМОР Матиас XXL отборный филе-кусочки с луком в масле, 260г;Не указан;31999.0;28399.0;Лента;Москва
751720;Масляная рыба, стейк (из замороженного сырья), весовая;Не указан;26000.0;18000.0;Лента;Москва
578137;Камбала замороженная POLAR филе порционное, 400г;Не указан;45999.0;37999.0;Лента;Москва
862854;Фарш минтая замороженный BOREALIS блочный, 750г;Не указан;69999.0;;Лента;Москва
343433;Форель подкопченная РУССКОЕ МОРЕ филе-кусок, 200г;Не указан;76899.0;67499.0;Лента;Москва
457009;Тунец МАГУРО натуральный, 200г;Не указан;42199.0;30299.0;Лента;Москва
381516;"Анчоус пряного посола БАЛТИЙСКИЙ БЕРЕГ килька обыкновенная, филе в масле 
с оливками, 145г";Не указан;20199.0;;Лента;Москва
748313;Шпроты ALAND в масле, 160г;Не указан;16299.0;12799.0;Лента;Москва
